iter	Passed	Remaining
1478	140448	1994
1479	140548	1899
1480	140639	1804
1481	140727	1709
1482	140814	1614
1483	140915	1519
1484	141014	1424
1485	141114	1329
1486	141212	1234
1487	141320	1139
1488	141438	1044
1489	141539	949
1490	141588	854
1491	141678	759
1492	141776	664
1493	141879	569
1494	141974	474
1495	142071	379
1496	142162	284
1497	142255	189
1498	142372	94
1499	142468	0
